IT Inventory Name,Type,Make,MODEL,Description,Retail Value,Payment Method,Assigned To,enCrypted,Status,Life Cycle,Purchase Date,Warranty Exp
CEO Office Printer,Printer,DELL,"Dell E514dw Wireless Monochrome Laser Multifunction Printer, Copier, Scanner","Print, copy and scan documents with this multifunctional printer;
Built-in wireless (802.11b/g/n) connection offers cable-free convenience; 2-line LCD makes operation simple.
Prints up to 27 pages per minute (ppm) in Simplex and up to 15 pages per minute (ppm) in Duplex; Up to 2400 x 600 optimized dpi (dots per inch) resolution for crisp images.
Copies up to 20 cpm copies per minute; Flatbed scanner with 24-bit color and 8 bit for gray scale.
Scan resolution up to 600 x 1200 dpi for quality and clarity; Automatic 2-sided printing saves paper and money.
Features an ADF automatic document feeder and built-in duplexer for automatic 2-sided printing; 250-sheet input tray and 100-sheet output tray; ENERGY STAR certified.",599,AMEX,,NO,ASSIGNED,Mid-Warranty,2022-03-02,2023-03-01
CEOs Laptop,Laptop,APPLE,"Apple 16.2"" MacBook Pro with M1 Max Chip (Late 2021, Space Gray)","Apple M1 Max 10-Core Chip
64GB Unified RAM | 2TB SSD
16.2"" 3456x2234 Liquid Retina XDR Screen
32-Core GPU | 16-Core Neural Engine
Wi-Fi 6 (802.11ax) | Bluetooth 5.0
Thunderbolt 4 | HDMI | MagSafe 3
SDXC Slot | FaceTime HD 1080p Camera
Backlit Magic Keyboard
Force Touch Trackpad | Touch ID Sensor
macOS",3999,VISA,,YES,ASSIGNED,Mid-Warranty,2022-04-04,2024-04-03
Richard's Monitor,Monitor,DELL,Dell UltraSharp 40 Curved WUHD Monitor - U4021QW,"Dell UltraSharp 40 Curved WUHD Monitor – U4021QW
Diagonal Image Size 100.85 cm (39.7 inches)
Active Display Area
Horizontal
Vertical
929.28 mm (35.59 inches)
392.04 mm (15.44 inches)
Maximum Preset Resolution 5120 x 2160 @ 60Hz
Aspect Ratio 21:9
Pixel Pitch 0.1815 mm x 0.1815 mm
Pixels Per Inch (PPI) 140
Brightness 300 cd/m² (typical)
Color Gamut11 100% sRGB, 100% Rec. 709 and 98% DCI-P3
Calibration Accuracy 100% sRGB with Delta-E < 2
Color Depth 1.07 billion colors
Contrast Ratio 1000: 1 (typical)
Viewing Angle 178° vertical / 178° horizontal
Response Time 5ms (gray to gray) fast mode; 8ms (gray to gray) normal mode
Panel Technology In-Plane Switching Technology
Backlight Technology LED
Display Screen Coating Anti-glare treatment of the front polarizer (3H) hard coating
ComfortView with Flicker-free Screen Yes with ComfortView Plus, built-in low blue light screen. TÜV Rheinland certified – Low Blue Light Hardware
Solution and Flicker Free (ID 1111229081)7
Dell Display Manager Yes with Dell Easy Arrange and other key features
Remote Asset Management Yes, via Dell Command | Monitor
Others Picture-by-Picture (PBP), Picture-in-Picture (PIP), KVM (Keyboard, Video and Mouse), Auto-KVM
Speakers Built-in 2 x 9W",2150,AMEX,,YES,ASSIGNED,Close to Warranty Expiration,2021-10-15,2022-10-16
IT VP - Tony,Laptop,APPLE,"Apple MacBook Pro 15"" 2018 Touch Bar Gray 2.2 GHz i7 16GB 256GB.","Model: i7, Maximum Resolution: 2880 x 1800
Operating System:	Mac OS	
Processor: Intel Core i7 8th Gen.
SSD Capacity: 256 GB, Screen Size: 15 in                               Graphics Processing Type: Dedicated Graphics
Item Height: 0.61, Item Width:	 9.48, Series:	 MacBook Pro Type:	Notebook/Laptop, Processor Speed: 2.20 GHz	
Features: Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Force Touch Trackpad, Touch Bar, Wi-Fi
Color:	Gray, Hard Drive Capacity: 256 GB
MPN:	MR942LL/A, GPU: AMD Radeon RX 560
Item Length: 13.75, Release Year: 2018
Storage Type: SSD (Solid State Drive)	
RAM Size: 16 GB
Item Weight: 4.02	
",1400,AMEX,,YES,ASSIGNED,Warranty Expired,2018-06-01,2022-05-30
Lantronix001,Server,Server,Lantronix SLC 8000 - console server,"Type: Console server
Form Factor: Rack-mountable
Ports Qty: 48
Connectivity Technology: Wired
Data Link Protocol: Ethernet, Fast Ethernet, Gigabit Ethernet, RS-232
Routing Protocol: RIP, RIP-2
Features: 256KB packet buffer, Firewall protection, LDAP support, Manageable, Management Information Base (MIB), Packet filtering, VPN support                                            Interfaces: 1 x management - RJ-45, 1 x USB 2.0 - Type A, 2 x - SFP (mini-GBIC), 48 x RS-232 - RJ-45",5181.99,VISA,,YES,ASSIGNED,Mid-Warranty,2021-03-01,2024-02-28
LT001,Laptop,DELL,Inspiron 15 3000 ,"Processor: Intel® Celeron® N4020 (4 MB cache, 2 cores, 2 threads, up to 2.80 GHz)
Operating System: Windows 11 Pro for business)
Windows 11 Home (S mode), English
Graphics Card: Intel® UHD Graphics 600
Display: 15.6"", HD 1366x768, 60Hz, Non-Touch, Anti-Glare, LED-Backlit, Narrow Border
Memory: 4 GB, 1 x 4 GB, DDR4, 2400 MHz
Hard Drive: 128 GB, M.2, PCIe NVMe, SSD
Case: Carbon Black
Microsoft Office: No Microsoft Office Included
Security Software: No Anti-virus Required
Keyboard: Non-Backlit Keyboard, English
Ports: 
2 USB 3.2 Gen 1 ports
1 USB 2.0 port
1 Audio Jack
1 HDMI 1.4 port
HDMI 1.4 (Maximum resolution supported over HDMI is 1920x1080 @60Hz. No 4K/2K output)",980,PO,,YES,SCRAPPED,Warranty Expired,2015-01-03,2019-01-02
LT002,Laptop,DELL,Inspiron 15 3000 ,"Processor: Intel® Celeron® N4020 (4 MB cache, 2 cores, 2 threads, up to 2.80 GHz)
Operating System: Windows 11 Pro for business)
Windows 11 Home (S mode), English
Graphics Card: Intel® UHD Graphics 600
Display: 15.6"", HD 1366x768, 60Hz, Non-Touch, Anti-Glare, LED-Backlit, Narrow Border
Memory: 4 GB, 1 x 4 GB, DDR4, 2400 MHz
Hard Drive: 128 GB, M.2, PCIe NVMe, SSD
Case: Carbon Black
Microsoft Office: No Microsoft Office Included
Security Software: No Anti-virus Required
Keyboard: Non-Backlit Keyboard, English
Ports: 
2 USB 3.2 Gen 1 ports
1 USB 2.0 port
1 Audio Jack
1 HDMI 1.4 port
HDMI 1.4 (Maximum resolution supported over HDMI is 1920x1080 @60Hz. No 4K/2K output)",980,PO,,YES,SCRAPPED,Warranty Expired,2015-01-03,2019-01-02
LT003,Laptop,DELL,Inspiron 15 3000,"Processor: Intel® Celeron® N4020 (4 MB cache, 2 cores, 2 threads, up to 2.80 GHz)
Operating System: Windows 11 Pro for business)
Windows 11 Home (S mode), English
Graphics Card: Intel® UHD Graphics 600
Display: 15.6"", HD 1366x768, 60Hz, Non-Touch, Anti-Glare, LED-Backlit, Narrow Border
Memory: 4 GB, 1 x 4 GB, DDR4, 2400 MHz
Hard Drive: 128 GB, M.2, PCIe NVMe, SSD
Case: Carbon Black
Microsoft Office: No Microsoft Office Included
Security Software: No Anti-virus Required
Keyboard: Non-Backlit Keyboard, English
Ports: 
2 USB 3.2 Gen 1 ports
1 USB 2.0 port
1 Audio Jack
1 HDMI 1.4 port
HDMI 1.4 (Maximum resolution supported over HDMI is 1920x1080 @60Hz. No 4K/2K output)",980,PO,,YES,SCRAPPED,Warranty Expired,2015-01-03,2019-01-02
LT004,Laptop,DELL,Inspiron 15 3000,"Processor: Intel® Celeron® N4020 (4 MB cache, 2 cores, 2 threads, up to 2.80 GHz)
Operating System: Windows 11 Pro for business)
Windows 11 Home (S mode), English
Graphics Card: Intel® UHD Graphics 600
Display: 15.6"", HD 1366x768, 60Hz, Non-Touch, Anti-Glare, LED-Backlit, Narrow Border
Memory: 4 GB, 1 x 4 GB, DDR4, 2400 MHz
Hard Drive: 128 GB, M.2, PCIe NVMe, SSD
Case: Carbon Black
Microsoft Office: No Microsoft Office Included
Security Software: No Anti-virus Required
Keyboard: Non-Backlit Keyboard, English
Ports: 
2 USB 3.2 Gen 1 ports
1 USB 2.0 port
1 Audio Jack
1 HDMI 1.4 port
HDMI 1.4 (Maximum resolution supported over HDMI is 1920x1080 @60Hz. No 4K/2K output)",980,PO,,YES,SCRAPPED,Warranty Expired,2015-01-03,2019-01-02
LT005,Laptop,DELL,Inspiron 15 3000,"Processor: Intel® Celeron® N4020 (4 MB cache, 2 cores, 2 threads, up to 2.80 GHz)
Operating System: Windows 11 Pro for business)
Windows 11 Home (S mode), English
Graphics Card: Intel® UHD Graphics 600
Display: 15.6"", HD 1366x768, 60Hz, Non-Touch, Anti-Glare, LED-Backlit, Narrow Border
Memory: 4 GB, 1 x 4 GB, DDR4, 2400 MHz
Hard Drive: 128 GB, M.2, PCIe NVMe, SSD
Case: Carbon Black
Microsoft Office: No Microsoft Office Included
Security Software: No Anti-virus Required
Keyboard: Non-Backlit Keyboard, English
Ports: 
2 USB 3.2 Gen 1 ports
1 USB 2.0 port
1 Audio Jack
1 HDMI 1.4 port
HDMI 1.4 (Maximum resolution supported over HDMI is 1920x1080 @60Hz. No 4K/2K output)",980,PO,,YES,SCRAPPED,Warranty Expired,2015-01-03,2019-01-02
